"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DSKEW","Daseke, Inc.","1.9","0","n/a","2015","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","11.41","94030369.09","n/a","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DWCH","Datawatch Corporation","11.4","139746421.2","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","47.82","1946004056.1","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","3.899","100768153.885","n/a","2015","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","25.49","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dfnl",
"DUSA","Davis Select U.S. Equity ETF","25.13","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","28.52","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwld",
"DWSN","Dawson Geophysical Company","6.56","142470198.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DBVT","DBV Technologies S.A.","24.62","581776213.36","23630228","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DCPH","Deciphera Pharmaceuticals, Inc.","26.22","854554006.92","n/a","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dcph",
"DFRG","Del Frisco&#39;s Restaurant Group, Inc.","17.6","373457462.4","n/a","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dfrg",
"TACO","Del Taco Restaurants, Inc.","12.94","500483407.96","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/taco",
"TACOW","Del Taco Restaurants, Inc.","3.5593","0","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tacow",
"DMPI","DelMar Pharmaceuticals, Inc.","1.39","30026050.25","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dmpi",
"DELT","Delta Technology Holdings Limited","1.5354","15448701.9366","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/delt",
"DNLI","Denali Therapeutics Inc.","23.95","2107108426.25","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dnli",
"DENN","Denny&#39;s Corporation","15.25","995562547.5","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY SIRONA Inc.","61.98","14235746575.86","n/a","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"DEPO","Depomed, Inc.","7.77","489614514.27","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/depo",
"DERM","Dermira, Inc.","30.21","1258975708.98","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/derm",
"DEST","Destination Maternity Corporation","2.64","38568776.4","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dest",
"DXLG","Destination XL Group, Inc.","2.5","121716282.5","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dxlg",
"DSWL","Deswell Industries, Inc.","2.7501","43685995.7739","n/a","1995","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/dswl",
"DTRM","Determine, Inc. ","1.88","27840867.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dtrm",
"DXCM","DexCom, Inc.","57.64","5009097277.8","n/a","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxcm",
"DHXM","DHX Media Ltd.","3.8","127625169.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dhxm",
"DHIL","Diamond Hill Investment Group, Inc.","213.83","741832507.29","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"FANG","Diamondback Energy, Inc.","129.05","12668488645.45","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fang",
"DCIX","Diana Containerships Inc.","2.83","2142856.19","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DRNA","Dicerna Pharmaceuticals, Inc.","9.88","510220371.44","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drna",
"DFBG","Differential Brands Group Inc.","1.1333","15107851.1717","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dfbg",
"DFFN","Diffusion Pharmaceuticals Inc.","0.6712","19814985.176","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dffn",
"DGII","Digi International Inc.","10.4","278680417.6","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","31.9","371959997.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","2.47","49530870.48","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"DGLY","Digital Ally, Inc.","2.25","15704394.75","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"APPS","Digital Turbine, Inc.","2.06","148414636.4","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DCOM","Dime Community Bancshares, Inc.","19.6","733488526.4","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/dcom",
"DIOD","Diodes Incorporated","28.56","1410582112.8","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/diod",
"DISCA","Discovery Communications, Inc.","25.91","9821320802.02","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/disca",
"DISCB","Discovery Communications, Inc.","31.75","12035003298.5","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/discb",
"DISCK","Discovery Communications, Inc.","24.7","9362663983.4","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/disck",
"DISH","DISH Network Corporation","47.3","22058705351.1","n/a","1995","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dish",
"DVCR","Diversicare Healthcare Services Inc.","8.78","56699800.08","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dvcr",
"SAUC","Diversified Restaurant Holdings, Inc.","1.6","43010571.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sauc",
"DLHC","DLH Holdings Corp.","6.11","72602038.34","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"BOOM","DMC Global Inc.","23.65","349294938.3","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"DNBF","DNB Financial Corp","34.1","145567205.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dnbf",
"DOGZ","Dogness (International) Corporation","4.42","114920000","n/a","2017","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/dogz",
"DLTR","Dollar Tree, Inc.","116.35","27586179636.6","n/a","1995","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dltr",
"DLPN","Dolphin Entertainment, Inc.","3.32","31098629.24","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dlpn",
"DLPNW","Dolphin Entertainment, Inc.","0.41","0","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dlpnw",
"DGICA","Donegal Group, Inc.","17.66","484428811","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgica",
"DGICB","Donegal Group, Inc.","15.5","425178175","n/a","1986","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgicb",
"DMLP","Dorchester Minerals, L.P.","16.05","518090372.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dmlp",
"DORM","Dorman Products, Inc.","74.79","2522100240.54","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dorm",
"DOVA","Dova Pharmaceuticals, Inc.","32.29","828317836.53","n/a","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dova",
"LYL","Dragon Victory International Limited","4.66","54366668.22","n/a","2017","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/lyl",
"DOTA","Draper Oakwood Technology Acquisition, Inc.","9.8","74235000","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/dota",
"DOTAR","Draper Oakwood Technology Acquisition, Inc.","0.6499","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/dotar",
"DOTAU","Draper Oakwood Technology Acquisition, Inc.","10.63","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/dotau",
"DOTAW","Draper Oakwood Technology Acquisition, Inc.","0.7","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/dotaw",
"DRYS","DryShips Inc.","3.48","362875983.84","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DSPG","DSP Group, Inc.","13","290198766","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DLTH","Duluth Holdings Inc.","18.74","608324893.18","n/a","2015","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dlth",
"DNKN","Dunkin&#39; Brands Group, Inc.","66.56","6011892423.68","n/a","2011","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dnkn",
"DRRX","DURECT Corporation","1.18","175284434.58","n/a","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drrx",
"DXPE","DXP Enterprises, Inc.","34.68","603148178.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dxpe",
"DYSL","Dynasil Corporation of America","1.345","23019141.035","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"DYNT","Dynatronics Corporation","2.8001","13778552.8736","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/dynt",
"DVAX","Dynavax Technologies Corporation","16.8","1018017016.8","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dvax",
"ETFC","E*TRADE Financial Corporation","52.62","14040483098.22","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"EBMT","Eagle Bancorp Montana, Inc.","20.4","102009180","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","62.8","2146828236.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","5.05","374321402.5","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/egle",
"EFBI","Eagle Financial Bancorp, Inc.","15.9268","25686870.4544","n/a","2017","Finance","Savings Institutions","http://www.nasdaq.com/symbol/efbi",
"EGRX","Eagle Pharmaceuticals, Inc.","62.03","925588274.69","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"EWBC","East West Bancorp, Inc.","67.67","9781218787.37","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ewbc",
"EACQ","Easterly Acquisition Corp.","10.1","65182339.7","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacq",
"EACQU","Easterly Acquisition Corp.","10.1","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqu",
"EACQW","Easterly Acquisition Corp.","0.66","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqw",
"EML","Eastern Company (The)","26.55","166240568.25","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/eml",
"EAST","Eastside Distilling, Inc.","4.2","20262475.8","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/east",
"EASTW","Eastside Distilling, Inc.","0.56","0","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/eastw",
"EVGBC","Eaton Vance Global Income Builder NextShares","99.98","24995000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evgbc",
"EVSTC","Eaton Vance Stock NextShares","99.98","22495500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evstc",
"EVFTC","Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShar","100.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evftc",
"EVLMC","Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShar","99.94","34979000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evlmc",
"OKDCC","Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShar","100.13","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/okdcc",
"EBAY","eBay Inc.","40.8","42618502552.8","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","25.65","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"EBIX","Ebix, Inc.","83.9","2639122658.6","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","4.74","21426444.78","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"ECHO","Echo Global Logistics, Inc.","30.35","846996327.7","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","60.92","5831677630.72","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","10.85","46672403.4","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
